starttime,stoptime,start station name,end station name,start station latitude,start station longitude,end station latitude,end station longitude,usertype,day of week,start date,stop date,tripduration
2022-01-31 14:58:00,2022-01-31 15:09:00,Van Vorst Park,Manila & 1st,40.718489,-74.047727,40.721651,-74.042884,member,Tuesday,04/13/2021,04/13/2021,0 days 00:11:00
2022-01-31 15:32:00,2022-01-31 15:41:00,Brunswick & 6th,Manila & 1st,40.726011,-74.050388,40.72165072487999,-74.04288411140442,member,Sunday,04/25/2021,04/25/2021,0 days 00:09:00
2022-01-31 20:27:00,2022-01-31 20:32:00,Van Vorst Park,Manila & 1st,40.718488,-74.047726,40.72165072487999,-74.04288411140442,member,Wednesday,04/07/2021,04/07/2021,0 days 00:05:00
2022-01-31 18:11:00,2022-01-31 18:25:00,Brunswick & 6th,JC Medical Center,40.726011,-74.050388,40.71653978099194,-74.0496379137039,member,Monday,04/19/2021,04/19/2021,0 days 00:14:00
2022-01-31 20:44:00,2022-01-31 20:48:00,Van Vorst Park,Marin Light Rail,40.718488,-74.047726,40.71458403535893,-74.04281705617905,member,Tuesday,04/13/2021,04/13/2021,0 days 00:04:00
2022-01-31 06:27:00,2022-01-31 06:35:00,Brunswick & 6th,Marin Light Rail,40.726011,-74.050388,40.71458403535893,-74.04281705617905,member,Friday,04/09/2021,04/09/2021,0 days 00:08:00
2022-01-31 16:36:00,2022-01-31 16:41:00,Van Vorst Park,Marin Light Rail,40.718488,-74.047726,40.71458403535893,-74.04281705617905,member,Wednesday,04/14/2021,04/14/2021,0 days 00:05:00
2022-01-31 09:34:00,2022-01-31 09:39:00,Van Vorst Park,Marin Light Rail,40.718488,-74.047726,40.71458403535893,-74.04281705617905,member,Tuesday,04/27/2021,04/27/2021,0 days 00:05:00
2022-01-31 17:09:00,2022-01-31 17:13:00,Van Vorst Park,Marin Light Rail,40.718488,-74.047726,40.71458403535893,-74.04281705617905,member,Wednesday,04/28/2021,04/28/2021,0 days 00:04:00
2022-01-31 06:31:00,2022-01-31 06:44:00,Fairmount Ave,Marin Light Rail,40.725726,-74.071959,40.71458403535893,-74.04281705617905,casual,Sunday,04/25/2021,04/25/2021,0 days 00:13:00
2022-01-31 17:07:00,2022-01-31 17:48:00,Van Vorst Park,Marin Light Rail,40.718488,-74.047726,40.71458403535893,-74.04281705617905,member,Tuesday,04/13/2021,04/13/2021,0 days 00:41:00
2022-01-31 17:07:00,2022-01-31 17:48:00,Van Vorst Park,Marin Light Rail,40.718488,-74.047726,40.71458403535893,-74.04281705617905,member,Tuesday,04/13/2021,04/13/2021,0 days 00:41:00
2022-01-31 10:14:00,2022-01-31 10:18:00,Van Vorst Park,Marin Light Rail,40.718488,-74.047726,40.71458403535893,-74.04281705617905,casual,Saturday,04/17/2021,04/17/2021,0 days 00:04:00
2022-01-31 11:26:00,2022-01-31 11:44:00,Fairmount Ave,Marin Light Rail,40.725726,-74.071959,40.71458403535893,-74.04281705617905,casual,Thursday,04/22/2021,04/22/2021,0 days 00:18:00
2022-01-31 06:20:00,2022-01-31 06:28:00,Brunswick & 6th,Marin Light Rail,40.726011,-74.050388,40.71458403535893,-74.04281705617905,member,Thursday,04/08/2021,04/08/2021,0 days 00:08:00
2022-01-31 08:35:00,2022-01-31 08:47:00,Fairmount Ave,Glenwood Ave,40.725726,-74.071959,40.72755146730012,-74.07106071710587,member,Friday,04/23/2021,04/23/2021,0 days 00:12:00
2022-01-31 07:59:00,2022-01-31 08:09:00,Fairmount Ave,Montgomery St,40.725726,-74.071959,40.71942,-74.05099,casual,Wednesday,04/14/2021,04/14/2021,0 days 00:10:00
